Item,Price,Link
Raspberry Pi Pico,$2,https://www.aliexpress.us/item/3256806459772007.html?
Adjustable Buck Regulator,$4,https://www.aliexpress.us/item/3256810213721988.html
Joystick Module,$2,https://www.aliexpress.us/item/3256809150872159.html
A4988 Drivers (2),$4,https://www.aliexpress.us/item/3256809421459029.html 
Laser Diode,$3,https://www.aliexpress.us/item/3256808415270828.html
NEMA 17 Stepper Motors (2),$15,https://www.aliexpress.us/item/3256806051494567.html
ZVS Driver,$6,https://www.aliexpress.us/item/3256809321123298.html
Flyback Transformer,$6,https://www.aliexpress.us/item/3256806032577819.html?
,,
Total,$42,
